age,salary,years_exp,department,performance_score,is_remote
60,,19,HR,2.59,True
50,,18,Engineering,4.88,False
36,70917.496712488,14,Marketing,4.46,True
64,50713.9595946756,15,Engineering,4.27,True
29,65342.3974558407,4,HR,2.03,True
42,59671.786884918525,2,HR,1.68,True
60,78270.75656634766,11,HR,3.67,False
40,54158.12963544777,19,Engineering,4.72,True
44,53357.964826415366,3,Marketing,3.23,True
32,65673.39922111278,15,Marketing,3.29,True
32,89007.59701392178,6,Engineering,2.12,True
45,61214.5620891685,12,Marketing,4.08,False
57,53753.154546729376,9,Engineering,1.75,False
61,72862.54877382169,6,Marketing,2.29,True
45,70771.92419737067,13,Sales,2.7,True
24,45727.9237402794,4,Sales,3.03,True
43,51957.59849731467,2,HR,1.97,True
23,76447.93284742325,10,Sales,1.46,True
45,66420.1926148414,10,Sales,3.44,True
51,22954.517023986038,17,Sales,2.15,False
59,,14,Engineering,3.32,True
23,,11,Sales,1.62,False
42,47436.279123553286,8,Sales,2.92,False
54,70157.7909837315,9,HR,3.13,True
33,88084.78675981081,11,Sales,1.21,False
43,65945.60910096663,16,Sales,2.35,False
46,,5,Marketing,1.54,False
48,,6,HR,1.25,False
63,60195.50849649827,13,HR,4.96,False
49,65666.54387959637,12,HR,2.29,False
37,,7,HR,4.24,True
36,67523.94548019259,9,HR,2.02,False
24,57795.81910619441,8,HR,3.73,False
58,62709.344606103296,17,Engineering,4.04,False
28,74472.15873492653,1,Sales,3.38,True
42,,4,HR,2.89,False
30,61630.67699441078,4,Sales,2.65,True
60,61586.45470541641,5,Sales,2.4,False
39,73810.00073569607,18,Engineering,4.72,True
25,56599.16316675957,7,HR,4.32,True
46,69795.72466574641,15,Marketing,4.86,False
35,76540.31198194067,12,Engineering,1.5,False
30,32252.955942536526,0,Marketing,3.92,True
47,77529.46865175801,19,Sales,4.75,False
23,45219.27304311469,16,Sales,1.72,True
41,43590.89386397289,6,Engineering,1.27,True
49,16808.14659791436,12,Engineering,3.96,True
28,47952.33502481029,3,Marketing,3.3,True
29,59927.14583023455,3,HR,4.37,True
56,54250.15040601145,5,Marketing,1.56,False
35,,18,Engineering,4.18,True
38,,11,Marketing,1.81,True
57,73008.44248464666,6,Engineering,1.65,False
61,74376.20754319947,9,Marketing,1.66,True
25,66271.77782933379,18,Engineering,4.26,False
23,31702.079313215425,6,Engineering,3.66,False
27,94100.17737026222,2,Engineering,3.09,False
63,62204.61975685824,12,HR,2.44,True
25,68094.13802375499,12,Marketing,4.51,True
50,37525.56543942104,17,Marketing,2.57,True
39,59828.34828795407,19,Marketing,4.27,False
47,66200.31131435468,7,Engineering,2.76,True
55,,8,Marketing,2.51,False
31,73082.42789030181,6,Marketing,2.85,True
57,79505.17721994809,0,Engineering,2.21,False
35,39847.14353898851,2,Sales,3.99,True
52,,12,Engineering,3.01,True
36,65915.09927197245,16,Marketing,1.93,True
29,59929.56007989661,0,Engineering,4.6,False
35,36437.820247085765,5,Sales,2.54,False
44,82197.7316279783,5,Engineering,3.17,True
61,65951.61421906693,11,Marketing,4.63,True
42,33251.23406751714,12,Sales,3.5,False
37,56352.98309389477,12,HR,1.47,False
39,64908.35079548799,14,Marketing,4.76,False
45,67598.62952508798,15,Sales,3.51,True
47,,10,Sales,2.34,False
46,65123.862089230744,4,HR,1.56,True
62,91783.29318344987,3,Engineering,4.18,False
50,83198.05133207263,2,Engineering,3.48,True
36,45757.21432231713,18,Marketing,3.13,False
22,51046.54002655871,19,HR,4.58,False
46,58331.940002845964,17,Engineering,4.15,False
28,33763.9584874258,14,HR,1.61,False
30,39878.947530807534,8,Engineering,2.25,False
45,35674.58068584775,16,Sales,1.99,True
22,42784.200407625,13,Engineering,3.98,False
29,80844.04242219887,14,HR,1.13,False
45,47171.39221680284,0,Sales,3.28,False
32,44594.073615966045,2,Sales,4.05,True
38,,15,Sales,4.51,False
29,53260.43420856327,10,HR,2.37,True
56,66279.59203758903,11,Marketing,4.29,False
56,49077.31125955,9,Marketing,1.44,False
54,32971.6804649016,15,Marketing,4.39,True
26,67015.75616247175,7,HR,1.51,False
63,36728.49083864022,5,Sales,2.59,True
60,52342.60170633606,11,Marketing,4.19,True
62,49005.73297434415,7,HR,1.6,False
49,62930.19708820459,3,Marketing,1.92,True
28,51660.826533380736,7,Engineering,3.89,False
30,58083.97757304171,17,Marketing,3.88,False
29,36591.64391344096,4,Marketing,3.56,True
33,90005.22133659155,8,Sales,3.78,True
55,41998.02393404755,3,HR,3.17,True
54,,16,Sales,2.01,True
44,62247.50574509397,8,Sales,2.38,False
45,62113.61052106983,0,Sales,1.73,False
58,65316.29377679493,19,Sales,4.63,True
56,31795.311173211652,12,Sales,3.33,False
61,,15,Marketing,2.6,False
43,52335.83299069557,12,Sales,2.85,False
48,78155.97949704959,13,Sales,4.79,False
56,57731.460517616564,2,HR,1.61,True
22,54382.17661364295,5,Engineering,3.34,True
56,40631.758302957256,17,Marketing,3.02,False
58,48517.35951288992,18,Marketing,3.45,True
35,66334.70642496097,4,Marketing,1.07,True
24,40381.28550495938,14,Sales,4.49,True
22,30141.006756339542,1,Sales,4.73,False
26,47136.76671508349,9,Sales,3.26,False
47,72600.08064933644,17,HR,3.79,False
35,86719.3661553955,12,Engineering,4.69,True
60,,4,Sales,3.83,False
48,36767.56980263862,0,Engineering,1.61,False
30,54853.064038438526,0,HR,3.31,True
36,62757.83271614338,17,Marketing,3.43,False
36,68668.45702648252,14,Sales,2.7,False
47,92019.61872011112,16,Engineering,3.95,True
63,63402.7323297118,10,Engineering,4.74,True
34,84831.92438068382,16,Sales,4.7,True
53,53056.118669045274,12,Marketing,2.8,False
60,61298.48721783832,0,Marketing,1.45,False
53,51106.75901309468,1,Marketing,4.94,False
25,49799.93498823086,8,HR,4.36,True
51,56048.9123269909,2,Engineering,1.5,True
58,55790.17686988769,0,Engineering,4.68,False
44,50940.36120753378,15,Engineering,4.48,False
60,51761.20638953547,5,HR,3.08,True
36,76451.94381662106,16,Engineering,3.37,True
64,91696.68235437304,4,HR,2.6,True
50,52523.90065940331,4,Marketing,1.22,True
57,55134.068286489004,5,Sales,2.34,False
34,67869.13500945763,2,Engineering,4.21,True
53,107805.50007109455,4,Engineering,1.02,False
28,61262.45281511881,4,Marketing,2.33,False
43,74589.49300348187,9,Sales,2.59,False
49,83167.12258061688,9,HR,3.15,True
23,65161.021971030335,18,Sales,4.68,True
63,73893.4881432755,16,Marketing,2.39,True
27,69117.57810502207,13,Marketing,2.39,True
49,75487.69189241822,8,Sales,3.95,False
49,44483.96465271473,13,HR,2.81,True
41,63064.24413001993,0,HR,1.9,True
51,67218.26592642191,18,Engineering,2.81,False
